permno,comnam
79940,ASANTE TECHNOLOGIES INC
79941,AMERICAN TELECASTING INC
79959,DIGIDESIGN INC
79970,FARMERS & MECHANICS BANK CONN
79999,MED WASTE INC
80009,OXFORD RESOURCES CORP
80028,RACOTEK INC
80041,SEARCH CAPITAL GROUP INC
80074,CAMCO INTERNATIONAL INC
80076,COASTCAST CORP
11868,STACEYS BUFFET INC
79532,WESTPOINT STEVENS INC
79961,E & B MARINE INC
79981,INTERNATIONAL MICROCOMP SOFTW IN
79991,MACROMEDIA INC
80034,MADDEN STEVEN LTD
80051,U S LAN SYSTEMS CORP
80061,AMERICAN HEALTH SERV INC MASS
79932,A B C RAIL PRODUCTS CORP
79933,ACTIVE VOICE CORP
79948,BREWER C HOMES INC
80030,SANGSTAT MEDICAL CORP
80031,SOUTHERN FINANCIAL FED SVNGS BK
80036,AMERICAN MOBILE SATELLITE CORP
80049,TRIQUINT SEMICONDUCTOR INC
80059,WATER POINT SYSTEMS INC
80069,INTERACTIVE INC
80098,SHEFFIELD EXPLORATION COMPANY IN
79945,COUNTRY STAR RESTAURANTS INC
79954,CONSO PRODUCTS CO
79964,FIDELITY BANCORP INC DEL
79966,FAIRFAX BANK & TRUST CO VA
79997,M K GOLD CO
80026,QUICKTURN DESIGN SYSTEMS INC
80042,STIMSONITE CORP
80073,AVIALL INC NEW
80093,J & L SPECIALTY STEEL INC
79902,G C COS INC
79934,A F C CABLE SYSTEMS INC
79949,COMMUNICATIONS CENTRAL INC
79962,E N C A D INC
79968,FLAIR CORP
79984,JASMINE LTD
79985,KENTUCKY ENTERPRISE BANCORP INC
80001,NAVARRE CORP
80006,ODWALLA INC
80012,PLANAR SYSTEMS INC
80020,PROXIM INC
80053,VIAGENE INC
80091,HOME HOLDINGS INC
76545,A T C II INC
79938,AMERICAN RECREATION CO HLDGS INC
79939,AMERICAN RESOURCE CORP INC NEW
79982,INTERLINE RESOURCES CORP
80007,SOUTHWEST BANCORP INC OKLA
80050,U F P TECHNOLOGIES INC
80057,WANG LABORATORIES INC NEW
10873,SECURITY BANCORP MT
59185,OIL DRI CORP OF AMERICA
66472,D D L ELECTRONICS INC
79957,CARELINE INC
79943,INTERPORE INTL
79975,GRYPHON HOLDINGS INC
79980,HOLLY PRODUCTS INC
80000,NATIONAL DENTEX CORP
80002,NORTH BANCSHARES INC
80038,GUNTHER INTERNATIONAL LTD
55160,SUMMA INDUSTRIES INC
79965,FIRST BANCSHARES INC MO
79983,INTERACTIVE MEDICAL TECHS LTD
79990,LAKEVIEW SVGS BK PATERSON NJ
80018,PREMIERE PAGE INC
80022,PSB HOLDINGS CORP
79955,CODED COMMUNICATIONS CORP
79989,LAMBERT COMMUNICATIONS INC
80003,NEW WEST EYEWORKS INC
80010,PACIFIC CREST CAPITAL INC
80046,TFC ENTERPRISES INC
80058,WHITE RIVER CORP
80062,WESTERN TRANSMEDIA CO INC
79967,FIRST CHARTER BANK
80060,W S B BANCORP INC
79956,COMMERCE GROUP INC MASS
79998,MAIN STREET CMNTY BANCORP INC
63686,POSSIS MEDICAL INC
76459,INFORMEDICS INC
77490,TRUST CO N J JERSEY CITY NEW
79937,AMERICAN BROADCASTING SYS INC
79946,CAPITAL SAVINGS BANCORP INC
80015,PENULTIMATE INC
80029,REPUBLIC BANK CLEARWATER FL
79986,K S BANCORP INC
80025,QUAKER CITY BANCORP INC
80054,VITAMIN SPECIALTIES CORP
79992,NATIONSMART CORP
80024,POTTERS SAVINGS & LOAN CO OH
80033,SEVEN HILLS FINANCIAL CORP
21776,P E C O ENERGY CO
43967,SUNSTATES CORP DE NEW
64426,D V L INC
69462,HEALTHCARE AMERICA INC
70519,TRAVELERS INC
80129,HALLMARK CAPITAL CORP
80150,SECURITY CAPITAL CORP WIS
80080,EASTMAN CHEMICAL CO
80119,ENVIRODYNE INDUSTRIES INC
80122,F F L C BANCORP INC
80139,LETCHWORTH INDPT BCSHS CORP
80151,STATEFED FINANCIAL CORP
75985,HALLMARK FINANCIAL SERVICES INC
80117,CONSOLIDATED TECHNOLOGY GRP LTD
80124,G F S BANCORP INC
80130,HARBOR FED SVGS BANK FLA
80155,FIRST SVGS BK MOORE CNTY SSB NC
80157,SPRECKELS INDUSTRIES INC
80121,FIDELITY FEDERAL SVGS BK FLA
90852,VECTRA TECHNOLOGIES INC
40708,HADSON CORP NEW
80118,CRESCENT AIRWAYS CORP
80166,WESTERFED FINANCIAL CORP
80188,PYROCAP INTERNATIONAL CORP
80125,GLENDALE CO OP BANK MA
80156,SPARTA FOODS INC
12627,AMERICAN CASINO ENTERPRISES INC
80141,MEDMARCO INC
11665,FAMILY BARGAIN CORP
80158,SWEETWATER INC
80116,CONTINENTAL WASTE INDUSTRIES INC
80154,LINCOLN SNACKS CO
24010,ENTERGY CORP NEW
77282,MISONIX INC
80147,PEOPLES BANK CORP OF INDIANAPOLI
80953,VIRGINIA FIRST FINANCIAL CORP
80110,AMERICANA GOLD DIAMOND HLDGS INC
80133,HAMPTON RESOURCES CORP
80142,M H MEYERSON & CO INC
80126,GREAT LAKES AVIATION LTD
80167,KINERET ACQUISITION CORP
80185,PLANTRONICS INC NEW
80112,CASCADE BANCORP
80113,CELADON GROUP INC
80159,TUFCO TECHNOLOGIES INC
80161,DEFLECTA SHIELD CORP
80162,2 I INC
80163,US WATS INC
80115,COMMONWEALTH FSB VALLEY FORGE PA
80137,JACKSON HEWITT INC
80143,MAXSERV INC
80079,CYTEC INDUSTRIES INC
80114,C M G INFORMATION SERVICES INC
80123,GAMETEK INC
80131,HARRIS SAVINGS BANK PA
80132,HILITE INDUSTRIES INC
80138,L A T SPORTSWEAR INC
80149,RICHEY ELECTRONICS INC
80134,HUGOTON ENERGY CORP
80140,LIGHT SAVERS USA INC
80160,PERSONNEL MANAGEMENT INC
65700,UNITED STATES LIME MINERALS INC
80165,TELULAR CORP
80168,FEDERAL AGRICULTURAL MORT CORP
80169,FEDERAL AGRICULTURAL MORT CORP
80184,O SULLIVAN INDUSTRIES HLDNGS INC
80186,PLAYTEX PRODUCTS INC
80189,SECURITY CONNECTICUT CORP
80127,G P FINANCIAL CORP
80135,INTERIM SERVICES INC
80145,ANESTA CORP
80146,NEXAGEN INC
80153,ANCHOR GAMING
76052,M F R I INC
77579,SYBRON INTERNATIONAL CORP
80235,DIGITAL LINK CORP
80252,MAPINFO CORP
80262,PARCPLACE SYSTEMS INC
80268,QUIZNOS FRANCHISE CORP
80294,ROANOKE GAS CO
80215,WIZ TECHNOLOGY INC
80239,EQUITY MARKETING INC
80242,ESMOR CORRECTIONAL SERVICES INC
80289,U S A MOBILE COMM HLDGS INC
76871,INDUSTRIAL TECHNOLOGIES INC
79939,AMERICAN RESOURCE CORP INC
79972,GREAT AMERICAN COMM CO NEW
80249,I G E N INC
80273,SEILER POLLUTION CONTROL SYS INC
80293,YOUTH SERVICES INTL INC
76993,SPARTA SURGICAL CORP NEW
77465,BURLINGTON INDUSTRIES INC NEW
80222,ALANTEC CORP
80246,HANOVER GOLD CO INC
80271,RENAISSANCE COMMUNICATIONS CORP
54093,VESTRO FOODS INC NEW
80251,LEASEWAY TRANSPORTATION CORP NEW
80248,INTERCEL INC
80264,INTERNATIONAL POST GROUP INC
80285,TRISM INC
80287,UNITED VISION GROUP INC
80290,WEBCO INDUSTRIES INC
80214,WESTERN NATIONAL CORP
80231,CONSEP INC
80238,ELTRON INTERNATIONAL INC
80270,ROTARY POWER INTL INC
80274,SIGMATRON INTERNATIONAL INC
80281,TATHAM OFFSHORE INC
25727,SUNWARD TECHNOLOGIES INC NEW
80192,AMERICAN PAGING INC
80230,INTERNATIONAL RETAIL SYS INC
80233,DAKTRONICS INC
80255,MODERN MEDICAL MODALITIES CORP
80265,PROCEPT INC
80279,SONIC SOLUTIONS
76171,COLUMBIA HCA HEALTHCARE CORP
80236,D S P GROUP INC
80253,MECKLERMEDIA CORP
80272,SOFTDESK INC
21371,CARDINAL HEALTH INC
66230,TURN TECHNOLOGY INC
79807,CLINTRIALS RESEARCH INC
80223,BOSTON PRIVATE BANCORP INC
80225,BOARDWALK CASINO INC
80278,SKYLINE MULTIMEDIA ENTMT INC
80292,XPEDITE SYSTEMS INC
11545,CHILDRENS COMPREHENSIVE SVCS INC
80199,HARVEYS CASINO RESORTS
80256,NASHVILLE COUNTRY CLUB INC
80258,NEUROBIOLOGICAL TECHNOLOGIES INC
80261,OCTAGON INC
80204,MARTIN MARIETTA MATERIALS INC
80226,C A I WIRELESS SYSTEMS INC
80250,INTEGRATED SILICON SYSTEMS INC
80254,MOBILE MINI INC
80245,HIRSCH INTERNATIONAL CORP
80257,NATURAL MICROSYSTEMS CORP
80264,INTERNATIONAL POST LTD
80286,TRACTOR SUPPLY CO NEW
80296,CELEBRITY ENTERTAINMENT INC
11534,LABONE INC
75710,GEOTEK COMMUNICATIONS INC
75961,MEMBERS SERVICE CORP NEW
80269,RECONVERSION TECHNOLOGIES INC
77035,SPECTRUM HOLOBYTE INC
80193,BEAZER HOMES USA INC
80221,ARDEN INDUSTRIAL PRODUCTS INC
80243,FINISHMASTER INC
80297,EMMIS BROADCASTING CORP
80237,ELECTRIC FUEL CORP
80244,GLOBAL VILLAGE COMMUNICATION
80260,NETWORK LONG DISTANCE INC
80282,STRATOSPHERE CORP
80229,CONCORD HOLDING CORP
80240,EFFECTIVE MANAGEMENT SYS INC
80247,HYMEDIX INC
80280,TOTAL CONTAINMENT INC
80298,OLIVER TRANSPORTATION INC
80299,PORTER MCLEOD NATL RETAIL INC
11001,LAFAYETTE AMERICAN BK & TR CO CT
32540,EMULEX CORP NEW
79101,NETWORK SIX INC
80220,ABLE TELECOM HOLDING CORP
80266,QLOGIC CORP
80284,TRIANGLE BANCORP INC
80288,UNIVERSAL MFG CO
10439,COMMNET CELLULAR INC
10926,FLAG FINANCIAL CORP
11833,CANTERBURY CORPORATE SVCS INC
76576,ONSITE ENERGY CORP
79593,H M G DIGITAL TECHNOLOGIES CORP
80318,CITI BANCSHARES INC
80334,INFOSOFT INTERNATIONAL INC
80344,NORTON MCNAUGHTON INC
80350,CYCLOPSS MEDICAL SYSTEMS INC
10995,B N F BANCORP INC
64995,KEYCORP NEW
80210,RAYONIER INC NEW
80359,QUALITY DINING INC
80366,SNOWRUNNER INC
53621,SOFTKEY INTERNATIONAL INC NEW
78078,AMERICAN WHITE CROSS INC
80313,CIDCO INC
80325,ELECTRONIC FAB TECHNOLOGY CORP
80333,HEALTH POWER INC
80342,NATURES ELEMENTS HOLDING CORP
80353,P H C INC MA
80361,ROCK TENN CO
80376,INTERNATIONAL VITAMIN CORP
82541,NUMEREX CORP NY
73438,SUN COAST INDUSTRIES INC
80306,BIOCRYST PHARMACEUTICALS INC
80322,C S L LIGHTING MANUFACTURING INC
80377,PEARCE SYSTEMS INTERNATIONAL INC
76987,SITE HOLDINGS INC
80308,BUCKEYE COMMUNICATIONS INC
80327,JUST FOR FEET INC
80348,NATIONAL WIRELESS HOLDINGS INC
80309,BORROR CORP
80371,TRANSTEXAS GAS CORP
80372,UROMED CORP
80375,OLYMPIC STEEL INC
80407,SOLIGEN TECHNOLOGIES INC
80191,ALBEMARLE CORP
80324,DRYPERS CORP
80358,PROPHET 21 INC
80301,AMERICAN CINEMASTORES INC
80314,CEDAR GROUP INC
80343,N N BALL & ROLLER INC
80367,SOUTH POINTE ENTERPRISES INC
80386,EMPHESYS FINANCIAL GROUP INC
80388,EXECUTIVE RISK INC
12511,MALLINCKRODT GROUP INC
19880,MASTEC INC
80326,EQUITABLE FEDERAL SAVINGS BK MD
80369,TEXAS REGIONAL BANCSHARES INC
80378,STRATEGIC DISTRIBUTION INC
80396,JALATE LTD
47730,A B M INDUSTRIES INC
80316,CIBER INC
80320,COPART INC
80349,ORGANIK TECHNOLOGIES INC
80370,TRIPLE S PLASTICS INC
75675,TOP SOURCE TECHNOLOGIES INC
80337,MINNESOTA EDUCATIONAL COMP CORP
80345,NORTHWEST AIRLINES CORP
80352,PETCO ANIMAL SUPPLIES INC
80362,SCANSOURCE INC
80410,WESTERN ATLAS INC
49286,FLORIDA GAMING CORP
80330,GARDEN STATE BANCSHARES INC
80332,GASONICS INTERNATIONAL CORP
80368,SUPER VISION INTERNATIONAL INC
80382,COLD METAL PRODUCTS INC
80321,CRYSTALLUME INC
80323,DAKOTAH INC
80341,MOTORCAR PARTS & ACCESSORIES INC
80346,NEW WORLD COMMUNICATIONS GRP INC
80311,CAREER HORIZONS INC
80331,GULF SOUTH MEDICAL SUPPLY INC
80335,KELLY RUSSELL STUDIOS INC
80374,VECTRA BANKING CORP
80379,INTERNATIONAL CANINE GENETIC INC
80393,HI SHEAR TECHNOLOGY CORP
33196,E V R O CORP
80310,BIOSEPRA INC
80338,M F B CORP
60687,AMERICAN PREMIER UNDERWRITERS IN
76697,HEALTH SYSTEMS INTERNATIONAL INC
80336,LANDMARK BANCSHARES INC
80302,APPLIED DIGITAL ACCESS INC
80305,FIRST ALERT INC
80315,CHAMPPS ENTERTAINMENT INC
80317,CAMERON ASHLEY INC
80351,P C SERVICE SOURCE INC
80357,PAUL SON GAMING CORP
80360,REPTRON ELECTRONICS INC
80404,ROUGE STEEL CO
80303,A K STEEL HOLDING CORP
80319,CONESTOGA BANCORP INC
80328,FIRST KNOX BANC CORP
80373,VIP GLOBAL CAPITAL INC
80383,CROWN LABORATORIES INC
10455,AMERIQUEST TECHNOLOGIES INC
80340,MARSHALLTOWN FINANCIAL CORP
80354,PERPETUAL MIDWEST FINANCIAL INC
80493,GREAT FINANCIAL CORP
80496,RELIANCE BANCORP INC
80402,RALCORP HOLDINGS INC
80456,L F S BANCORP INC
80466,PERMANENT BANCORP INC
80515,RATIONAL SOFTWARE CORP
80467,POCAHONTAS FED S & L ASSN ARK
80479,SPORT HALEY INC
11729,CHINA INDUSTRIAL GROUP INC
76322,ASHWORTH INC
80094,AIRTOUCH COMMUNICATIONS
80433,BIOMUNE SYSTEMS INC
80436,BAY RIDGE BANCORP INC
80465,ORYX TECHNOLOGY CORP
80472,BUGABOO CREEK STEAK HOUSE INC
80422,LEAR SEATING CORP
80439,WHOLESALE CELLULAR USA INC
80452,HEMASURE INC
80458,LAS VEGAS MAJ LEAGUE SPORTS INC
80463,M T I TECHNOLOGY CORP
80473,RETIREMENT CARE ASSOCIATES INC
80482,TURBOCHEF INC
80485,VIVUS INC
80434,LACROSSE FOOTWEAR INC
80440,CERPLEX GROUP INC
80445,FIBERCORP INTERNATIONAL INC
80459,METROBANCORP
80474,REDFED BANCORP INC
80487,WANDEL & GOLTERMANN TECHS INC
80414,CENTENNIAL TECHNOLOGIES INC
80415,CENTEX CONSTRUCTION PRODUCTS INC
80416,COLE NATIONAL CORP NEW
80442,DIALOGIC CORP
24097,NOVITRON INTERNATIONAL INC
80449,HOME FEDERAL SAVINGS BANK DC
80478,SOUTHERN MISSOURI BANCORP INC
80483,UNITED RESTAURANTS INC
10993,CHARIOT ENTERTAINMENT INC
80420,INTERNATIONAL LOTTERY INC
80432,AMERICAN EAGLE OUTFITTERS INC
80450,CAMBRIDGE SOUNDWORKS INC
80457,LONG ISLAND BANCORP INC
80464,NUMAR CORP
80488,XCELLENET INC
80413,A Z C O MINING INC
80443,D T INDUSTRIES INC
80444,EDUCATIONAL INSIGHTS INC
80447,GAME FINANCIAL CORP
80468,PACIFIC REHAB & SPORTS MED INC
75670,WESTAMERICA CORP
80061,AGES HEALTH SERVICES INC
80455,ITEX CORP
80477,SOFTWARE PROFESSIONALS INC
80484,VARI L INC
10401,A T & T CORP
77980,FED ONE BANK W VA
80441,C CUBE MICROSYSTEMS INC
80454,I D M ENVIRONMENTAL CORP
80469,PROJECT SOFTWARE & DEV INC
80470,QUINTILES TRANSNATIONAL CORP
80475,SABER SOFTWARE CORP
11120,C F X CORP
80448,HEARTLAND WIRELESS COMM INC
80462,MICROELECTRONIC PACKAGING INC
80481,TRANSACTION NETWORK SERVICES INC
11194,MINUTEMAN INTERNATIONAL INC
31051,DYNATRONICS CORP
80446,GARDNER DENVER MACHINERY INC
67723,SIERRA HEALTH SERVICES INC
78829,U M B FINANCIAL CORP
80461,M K RAIL CORP
80480,SUPERTEL HOSPITALITY INC
80489,XECHEM INTERNATIONAL INC
77511,IBAH INC
77774,E I S INTERNATIONAL INC
80438,BUCKHEAD AMERICA CORP
77266,INNERDYNE MEDICAL INC
80425,R F POWER PRODUCTS INC
80431,AMERICAN BUILDINGS CO NEW
80437,BROOKLYN BANCORP INC
80460,MITY LITE INC
80476,BANK OF SUFFOLK
35044,REGIONS FINANCIAL CORP
80423,MCWHORTER TECHNOLOGIES INC
80546,LEEDS FEDERAL SAVINGS BANK MD
80503,ALTERNATIVE RESOURCES CORP
80505,ANCOR COMMUNICATIONS INC
80529,FIRST STATE CORP
80539,INHALE THERAPEUTIC SYSTEMS
80544,JOS A BANK CLOTHIERS INC
80775,LONE STAR INDUSTRIES INC
80541,INVESTMENT TECHNOLOGY GROUP INC
80543,JEFFERSON SMURFIT CORP NEW
80567,POSITIVE RESPONSE TELEVISION INC
80504,AMERICAN PUBLISHING CO
80558,MONROC INC
80568,PHYSICIAN SALES & SERVICE INC
77266,INNERDYNE INC
80497,SAFETY COMPONENTS INTL INC
80572,RIDE SNOWBOARD CO
80594,CLARK AUTOMOTIVE PRODUCTS CORP
80596,FINANCIAL SECURITY ASSR HLGS LTD
80598,L X R BIOTECHNOLOGY INC
58632,MICKELBERRY COMMUNICATIONS INC
60206,SNAP ON INC
76314,QUANTUM LEARNING SYSTEMS INC
77364,REDDI BRAKE SUPPLY CORP
77476,CHICAGO & NORTH WESTERN TRANS CO
80502,ALLEGIANCE BANC CORP
80512,BOYD BROS TRANSPORTATION INC
80536,H E R C PRODUCTS INC
80542,JAVA CENTRALE INC
80581,VIDEOLABS INC
80587,ADVOCAT INC
60186,OWENS & MINOR INC NEW
75758,DIGITAL COMMUNICATIONS TECH CORP
80509,BARRINGTON BANCORP INC
80535,GAMING WORLD INTERNATIONAL LTD
80554,MICRION CORP
80569,PULASKI BANK A SVGS BK MO
80585,CARACO PHARMACEUTICAL LABS LTD
80589,AMERICAN EAGLE GROUP INC
29196,NORAM ENERGY CORP
76667,B W I P INC
80530,FUSION SYSTEMS CORP
80549,MAXWELL SHOE INC
80578,T J CINNAMONS INC
80593,BUSH BOAKE ALLEN INC
53081,PROVIDIAN CORP
80501,AIR L A INC
80506,ASCEND COMMUNICATIONS INC
80508,ATRIA SOFTWARE INC
80513,PREISS BYRON MULTIMEDIA INC
80524,DERMA SCIENCES INC
80556,MOVIEFONE INC
80561,OPTEX BIOMEDICAL INC
80576,THERMADYNE HOLDINGS CORP NEW
80605,U S DELIVERY SYSTEMS INC
77098,AMERICAN HOMEPATIENT INC
80514,CREATIVE MEDICAL DEVELOPMENT INC
80516,C N B FINANCIAL
80518,CHINATEK INC
80522,DEEPTECH INTERNATIONAL INC
80602,NORTH AMERICAN ADVANCED MATLS CP
80500,ACUITY IMAGING INC
80517,CARROLLTON BANCORP
80532,GLASGAL COMMUNICATIONS INC
80545,JACKSONVILLE SVGS & LN ASSN TX
80564,PANDA PROJECT INC
58480,BALLY ENTERTAINMENT CORP
77389,AMERICAN CLASSIC VOYAGES CO
80534,GROUP TECHNOLOGIES CORP
80583,WESTERN COUNTRY CLUBS INC
80592,BLYTH INDUSTRIES INC
24766,NORTHROP GRUMMAN CORP
80498,A B C BANCORP
80562,P D S FINANCIAL CORP
80565,PAGING PARTNERS CORP
11217,COUNTRY WIDE TRANSPORT SVCS INC
80510,BETTIS CORP
80525,FINANCING FOR SCIENCE INTL INC
80528,FRONTIER AIRLINES INC NEW
80537,IBIS TECHNOLOGY CORP
80577,TARGETED GENETICS CORP
77074,PRESLEY COS
11203,P X R E CORP
80526,FORE SYSTEMS INC
80552,MEDPLUS INC OHIO
80555,MICRO INTEGRATION CORP
49614,AMRESCO INC
77397,BIOSYS INC
80519,COLE TAYLOR FINANCIAL GROUP INC
80547,LINDAS FLAME ROASTED CHICKEN INC
80551,M C D C CASINO CORP
80553,MERIX CORP
80588,ALERT CENTRE INC
10594,DIME BANCORP INC
80499,A B R INFORMATION SERVICES INC
80527,FRESH AMERICA CORP
80548,LAZER TRON CORP
80559,NORTHFIELD LABORATORIES INC
80560,N P S PHARMACEUTICALS INC
80563,PENN NATIONAL GAMING INC
80570,QUORUM HEALTH GROUP INC
80575,SIMPSON MANUFACTURING CO INC
80600,MIKASA INC
75848,E C I INTERNATIONAL INC
78790,SPECTRAVISION INC
79476,ONECOMM CORP
80540,I P I INC
80580,TEXOIL INC NEV
10550,PRO DEX INC COLO
23720,ILLINOVA CORP
80599,LEHMAN BROTHERS HOLDINGS INC
75150,ATLANTIS PLASTICS INC
78006,MEDALLIANCE INC
79820,CURTIS MATHES HOLDING CORP
80641,MATEWAN BANCSHARES INC
80696,STERLING HEALTHCARE GROUP INC
34818,FILTERTEK INC NEW
57736,T C C INDUSTRIES INC
75153,BISCAYNE APPAREL INC
80579,TRIPOS INC
80622,DICKINSON HOLDING CORP
80640,LA JOLLA PHARMACEUTICAL CO
80658,PEDIATRIC SERVICES AMERICA INC
80660,SIGMA CIRCUITS INC
80671,WAVEFRONT TECHNOLOGIES INC
80672,W F S BANCORP INC
80679,COLE KENNETH PRODUCTIONS INC
80645,MICOM COMMUNICATIONS CORP
80609,APOGEE INC
80674,WOODROAST SYSTEMS INC
12062,NATIONAL HEALTH LABS HLDGS INC
79791,CENTURY CASINOS INC
79972,CITICASTERS INC
80700,SPORTS SCIENCES INC
80604,NUMED HOME HEALTH CARE INC
80637,K B K CAPITAL CORP
80651,METROTRANS CORP
80701,CONESTOGA ENTERPRISES INC
80557,MCMORAN OIL & GAS CO NEW
80621,CONSOLIDATED GRAPHICS INC
78071,BIOLASE TECHNOLOGY INC
80656,PEOPLES BANCTRUST CO INC
80615,C D P TECHNOLOGIES INC
80625,F N B CORP NC
80702,AMERICAN TOYS INC
57197,SOUTHWESTERN LIFE INS CO
80617,CHILDROBICS INC
78116,UNIMED PHARMACEUTICALS INC
80608,AMERICAN ELECTRONIC COMPNTS INC
80610,MANHATTAN BAGEL INC
80627,FIRST UNITED BANCORP
80653,NORWALK SAVINGS SOCIETY CONN
80661,SKYSAT COMMUNICATIONS NETWRK CP
80694,SANTA FE PACIFIC GOLD CORP
80618,CINERGI PICTURES ENTMT INC
80620,COMMUNITY FINANCIAL HOLDING CORP
80628,GEERLINGS AND WADE INC
80629,GUILFORD PHARMACEUTICALS INC
80632,GRAPHIX ZONE INC OLD
80647,MODEL IMPERIAL INC
80650,MTL INC
80669,VARIFLEX INC
10527,MARK VII INC
77238,LATIN AMERICAN CASINOS INC
78063,BROADWAY STORES INC
80634,INFINITY INC
80612,BIO PLEXUS INC
80663,SPARTA PHARMACEUTICALS INC
20693,SUNSHINE MINING & REFINING CO
47133,C K E RESTAURANTS INC
80668,USTEL INC
80616,CROP GROWERS CORP
80624,FOILMARK INC
80631,GEOWORKS
80636,INTERIORS INC
80644,MORGAN FUNSHARES INC
80648,MARISA CHRISTINA INC
80664,CAREERSTAFF UNLIMITED INC
80667,TREND LINES INC
80703,C F W COMMUNICATIONS CO
80607,ATLANTIC COMMUNITY BANCORP INC
80665,TROY HILL BANCORP INC
80666,THERATX INC
80678,CASE EQUIPMENT CORP
79271,HARVEY ENTERTAINMENT CO
80614,CONCEPTS DIRECT INC
80623,FIRST KENT FINANCIAL CORP
80642,MID CONTINENT BANCSHARES INC KAN
80704,BALTIC INTERNATIONAL USA INC
76318,BOSTON RESTAURANT ASSOCIATES INC
80652,NETWORK PERIPHERALS INC
80670,VALUJET AIRLINES INC
80699,VASTAR RESOURCES INC
80626,F S B FINANCIAL CORP
80673,WEST COAST BANCORP ORE
44207,IMAGE SOFTWARE INC
80633,H M N FINANCIAL INC
80649,MEDISENSE INC
80659,RAWLINGS SPORTING GOODS INC
80708,FIRST CHESAPEAKE FINANCIAL CORP
10636,Q V C INC
11208,ORIENTAL BANK AND TRUST PR
80115,COMMONWEALTH SAVINGS BANK PA
80678,CASE CORP
80732,B C B FINANCIAL SERVICES CORP
80756,INTEGRITY MUSIC INC
80765,SHO ME FINANCIAL CORP
80771,DOUBLETREE CORP
11571,X C L LTD
61720,PEASE OIL & GAS CO
80754,IOWA BANCORP INC
80713,COLLINS & AIKMAN CORP NEW
80764,SOUTH CAROLINA COMMUN BANCSHS IN
79661,UNIVERSITY BANK & TRUST CO CA
75318,CORAM HEALTHCARE CORP
79518,PROXYMED INC
80737,COLUMBIA BANCORP
80730,P M AGRI NUTRITION GROUP LTD
80748,FLUOROSCAN IMAGING SYSTEMS INC
80753,AMERICAN HOMESTAR CORP
56630,N P C INTERNATIONAL INC
76787,N P C INTERNATIONAL INC
76955,WESTMARK GROUP HOLDINGS INC
77004,FOOD TECHNOLOGY SERVICE INC
80715,DYCAM INC
80749,GOLF ENTERPRISES INC
80750,GENEMEDICINE INC
80768,T F FINANCIAL CORP
15617,BANKATLANTIC BANCORP INC
80698,THERMOLASE CORP
80719,GREENBRIER COMPANIES INC
80729,W C I STEEL INC
80739,CHERRY CORP
80744,COSMETIC GROUP U S A INC
80762,PENNFED FINANCIAL SERVICES INC
77383,E FOR M CORP
80772,U S MEDICAL PRODUCTS INC
80738,CONTINENTAL CHOICE CARE INC
80759,MATTHEWS INTERNATIONAL CORP
80773,VIDEO UPDATE INC
80758,K F X INC
80767,GREENSTONE INDUSTRIES INC
80736,ROCK BOTTOM RESTAURANTS INC
80746,EAGLE FINANCE CORP
80755,INTERSTATE NATL DEALER SVCS INC
10426,SAN FRANCISCO CO
80731,ASTRUM INTERNATIONAL CORP
80735,BEST PRODUCTS INC NEW
79966,F B & T FINANCIAL CORP
80613,COHERENT COMMUNICATIONS SYS CP
80751,HAPPINESS EXPRESS INC
80757,INNOVATIVE TECHNOLOGY SYS INC
80761,NORRELL CORP GA
17337,W H X CORP
80752,HEFTEL BROADCASTING CORP
80774,WACKENHUT CORRECTIONS CORP
80745,DORSEY TRAILERS INC
80763,R F MONOLITHICS INC
80740,CIMA LABS INC
80743,CASCADE COMMUNICATIONS CORP
80776,WESTERN OHIO FINANCIAL CORP
10046,UNIVERSAL FRANCHISE OPPTYS CORP
77435,COASTAL BANCORP INC
77849,APPLETREE INC
80801,BALLYS GRAND INC
80810,CONCEPT TECHNOLOGIES GROUP INC
80833,NAPRO BIOTHERAPEUTICS INC
80844,STANDARD FINANCIAL INC
80786,RIGHTCHOICE MANAGED CARE INC
80802,CITATION CORP ALABAMA
80828,MILLER INDUSTRIES INC TENN
80831,MOVIE GALLERY INC
78753,DESTRON FEARING CORP
80781,DIMAC CORP
80796,MEDIA ARTS GROUP INC
80843,SPECTRIAN CORP
70325,SYNPRO ENVIRONMENTAL SVCS INC
80788,SILVERADO FOODS INC
80845,SYSTEMSOFT CORP
75030,TELE COMMUNICATIONS INC NEW
75038,TELE COMMUNICATIONS INC NEW
35529,PRATT & LAMBERT UNITED INC
76904,COOPERATIVE BANCSHARES INC
78099,VALUE HOLDINGS INC
80819,FIRST VICTORIA NATL BK TEX NEW
80840,STANDARD FUNDING CORP
80791,ADTRAN INC
80839,POLISH TELEPHONES & MICROWAVE CO
80855,WAVE TECHNOLOGIES INTL INC
76264,SYLVAN INC
78172,BLACK BOX CORP DEL
80594,CAPCO AUTOMOTIVE PRODUCTS CORP
80798,A S V INC
80820,GLOBAL MARKET INFORMATION INC
80830,M L F BANCORP INC
80789,TRIGEN ENERGY CORP
80794,AMERILINK CORP
80809,CARLYLE GOLF INC
80811,ENVIROMETRICS INC
80818,FOTOBALL U S A INC
80821,HARBOR FEDERAL BANCORP INC
80836,P M T SERVICES INC
80841,SIRENA APPAREL GROUP INC
80852,TOWER AUTOMOTIVE INC
